2689	J MAR RES TC
2690	CO RIV SP OP
2691	CO RIV SP TC
2692	CHYN MT OPS
2693	CHYN MT TAC
2705	AR HWTR OPS
2706	AR HWTR TAC
2725	CO PK STWD
2781	StauntonOps
2782	StauntonTac
3068	CHRY CRK SP1
3069	CHRY CRK SP2
3070	CHRY CRK SP3
4915	CHYN MT OPS
8038	STMBT LK OPS
8039	STMBT LK TAC
8040	PEARL LK OPS
8041	PEARL LK TAC
8042	YAMPA RV OPS
8043	YAMPA RV TAC
8044	STGCH OPS
8045	STGCH TAC
8046	SYLVN LK OPS
8047	SYLVN LK TAC
8048	HRVY GAP OPS
8049	HRVY GAP TAC
8050	RIFLE FLS OP
8051	RIFLE FLS TC
8052	RIFLE GAP OP
8053	RIFLE GAP TC
8054	HILINE LK OP
8055	HILINE LK TC
8056	VEGA OPS
8057	VEGA TAC
8058	PAONIA OPS
8059	PAONIA TAC
8060	CRWFRD OPS
8061	CRWFRD TAC
8062	SWEITZER OPS
8063	SWEITZER TAC
8064	RIDGWAY OPS
8065	RIDGWAY TAC
8066	MANCOS OPS
8067	MANCOS TAC
8068	NAVAJO OPS
8069	NAVAJO TAC
8369	Parks Tac
8373	State Parks
2701	CO Ag Dept NE
2702	CO Ag Dept SE
8118	CO Ag Dept W
2736	CO Brand Insp E
8371	CO Brand Insp W
2528	CDOC ACC 2528
2529	CDOC ACC 2529
2530	CDOC ACC 2530
2531	CDOC ACC 2531
2532	CDOC ACC 2532
2534	CDOC ACC 2534
2535	CDOC AVCF 2525
2536	CDOC AVCF 2536
2537	CDOC AVCF 2537
2538	CDOC AVCF 2538
2539	CDOC AVCF 2539
2540	CDOC AVCF 2540
2541	CDOC AVCF 2541
2542	CDOC BVCC 2542
2543	CDOC BVCC 2543
2544	CDOC BVCC 2544
2545	CDOC BVCC 2545
2546	CDOC BVCC 2546
2547	CDOC BVCC 2547
2548	CDOC BVCC 2548
2549	CDOC BVCC 2549
2550	CDOC BVCC 2550
2551	CDOC CCC 2551
2552	CDOC CCC 2552
2553	CDOC CCC 2553
2554	CDOC CCC 2554
2555	CDOC CCC 2555
2556	CDOC CCC 2556
2557	CDOC CCC 2557
2558	CDOC CCF 2558
2559	CDOC CCF 2559
2560	CDOC CCF 2560
2561	CDOC CCF 2561
2562	CDOC CCF 2562
2563	CDOC CCF 2563
2564	CDOC CCF 2564
2565	CDOC CMC 2565
2566	CDOC CMC 2566
2567	CDOC CMC 2567
2568	CDOC CMC 2568
2569	CDOC CMC 2569
2570	CDOC CMC 2570
2571	CDOC CMC 2571
2572	CDOC CSP 2572
2573	CDOC CSP 2573
2574	CDOC CSP 2574
2575	CDOC CSP 2575
2576	CDOC CSP 2576
2577	CDOC CSP 2577
2578	CDOC CSP 2578
2673	CDOC CSP 2673
2579	CDOC CTCF 2579
2580	CDOC CTCF 2580
2581	CDOC CTCF 2581
2582	CDOC CTCF 2582
2583	CDOC CTCF 2583
2584	CDOC CTCF 2584
2585	CDOC CTCF 2585
2586	CDOC CWCF 2586
2587	CDOC CWCF 2587
2588	CDOC CWCF 2588
2589	CDOC CWCF 2589
2590	CDOC CWCF 2590
2591	CDOC CWCF 2591
2592	CDOC CWCF 2592
8009	CDOC DCC 8009
8010	CDOC DCC 8010
8011	CDOC DCC 8011
8012	CDOC DCC 8012
8013	CDOC DCC 8013
8014	CDOC DCC 8014
8015	CDOC DCC 8015
2438	CDOC DRDC 2438
2443	CDOC DRDC 2443
2445	CDOC DRDC 2445
2447	CDOC DRDC 2447
